exercice;dispositif;programme;beneficiaire_type;beneficiaire_siren;beneficiaire_dep;beneficiaire_nom;beneficiaire_code_insee;intitule;cout_ht;subvention;taux
2024;DETR;119;commune;210100020;001;COMMUNE DE L ABERGEMENT DE VAREY;01002;Restauration du four des granges;10114,0;2023,0;0,2000197745699031
2024;DETR;119;commune;210100418;001;COMMUNE DE BETTANT;01041;Renovation interieure de l'eglise;23060,0;4612,0;0,2
2024;DETR;119;commune;210103727;001;COMMUNE DE SAINT-MARTIN-DE-BAVEL;01372;Changement du chauffage de l'eglise;32042,0;9613,0;0,3000124836152549
2024;DETR;119;commune;210103727;001;COMMUNE DE SAINT-MARTIN-DE-BAVEL;01372;Refection du clocher de l'eglise;17945,2;4486,0;0,2499832824376434
2024;DETR;119;commune;200053676;001;COMMUNE DE HAUT VALROMEY;01187;Valorisation du patrimoine rural non protege : restauration statues;12890,0;2682,0;0,2080682699767261
2024;DETR;119;commune;200053676;001;COMMUNE DE HAUT VALROMEY;01187;Refection de patrimoine non protege;16573,259765625;4972,0;0,3000013316820475
2024;DETR;119;commune;210102166;001;COMMUNE DE LHUIS;01216;Renovation energetique de la salle polyvalente, acces pmr des toilettes, isolation, changement chaudiere....;981551,0;177110,0;0,1804389175906295
2024;DETR;119;syndicat intercommunal;200071975;001;SIVOM DU VALROMEY;;Remplacement de l'eclairage dans les ecoles maternelle et elementaire de Champagne en Valromey;26925,0;10770,0;0,4
2024;DETR;119;syndicat intercommunal;200071975;001;SIVOM DU VALROMEY;;Realisation de travaux dans les batiments scolaires;25288,64;10115,0;0,3999819681880876
2024;DETR;119;commune;210100376;001;COMMUNE DE BENONCES;01037;Renovation energetique de la caserne des sapeurs-pompiers;17922,08984375;7169,0;0,4000091542058672
2024;DETR;119;commune;200059913;001;COMMUNE DE PARVES ET NATTAGES;01286;Amenagement d'une maison d'assistants maternelle dans le batiment scolaire;405172,1;154868,0;0,3822277002784743
2024;DETR;119;commune;200053668;001;COMMUNE DE ARBOYS EN BUGEY;01015;Travaux de rehabilitation du patrimoine religieux - eglises;73639,0;22092,0;0,3000040739282174
2024;DETR;119;commune;200063121;001;COMMUNE DE CHAZEY-BONS;01098;Renovation et securisation de l'eglise;116913,0;23383,0;0,2000034213474977
2024;DETR;119;commune;200063121;001;COMMUNE DE CHAZEY-BONS;01098;Renovation batiment communal maison des associations;64490,0;25792,0;0,3999379748798263
2024;DETR;119;commune;200086122;001;COMMUNE DE PLATEAU D'HAUTEVILLE;01185;Travaux de toiture sur l'ancienne mairie-ecole de cormaranche : sauvegarde du patrimoine bati;102345,0;40007,0;0,3909033172113928
2024;DETR;119;commune;210102349;001;COMMUNE DE MARIGNIEU;01234;Ravalement des facades de l'eglise et du mur de soutenement du parking.;31162,0;6232,0;0,1999871638534112
2024;DETR;119;epci;200040350;001;CC BUGEY SUD;;Rehabilitation du centre nautique intercommunal situee a Belley, datant de 1980;9907265,0;400000,0;0,0403744121107086
2024;DETR;119;commune;210102901;001;COMMUNE DE PEROUGES;01290;Creation d'une nouvelle salle de classe;111328,51;21302,0;0,1913436189885232
2024;DETR;119;commune;210102802;001;COMMUNE D ORDONNAZ;01280;Reamenagement et renovation energetique batiment mairie - salle des fetes (multi-activites);393600,46;73580,0;0,1869408384329632
2024;DETR;119;commune;200084978;001;COMMUNE DE MAGNIEU;01227;Ravalement des facades des eglises de Chatonod et Saint Champ;94918,5;18984,0;0,2000031606062042
2024;DETR;119;commune;210100764;001;COMMUNE DE CHALEY;01076;Renovation d'un chalet de loisir PMR au camping municipal;34700,0;6129,0;0,1766282420749279
2024;DETR;119;commune;200053668;001;COMMUNE DE ARBOYS EN BUGEY;01015;Renovation petit patrimoine fours communaux;30160,0;6032,0;0,2
2024;DETR;119;commune;210101556;001;COMMUNE D EVOSGES;01155;Refection toiture pan Sud eglise;45243,33984375;9049,0;0,2000073387873474
2024;DETR;119;commune;200086411;001;COMMUNE DE VALROMEY-SUR-SERAN;01036;Amenagement des cimetieres situes dans les hameaux de Fitignieu et Luthezieu;16969,0;2943,0;0,1734339088926866
2024;DETR;119;commune;200086403;001;COMMUNE D'ARVIERE-EN-VALROMEY;01453;Changement de 2 poteaux incendie;8173,0;2043,0;0,2499694114768139
2024;DETR;119;commune;210100475;001;COMMUNE DE BLYES;01047;Mise en place de panneaux photovoltaiques en auto-consommation collective sur les batiments communaux;170715,93;34143,0;0,1999989104707452
2024;DETR;119;commune;210101218;001;COMMUNE DE CORLIER;01121;Renovation et mise en valeur des lavoirs communaux;59501,22;17850,0;0,2999938488656199
2024;DETR;119;commune;210100046;001;COMMUNE D AMBERIEU-EN-BUGEY;01004;Deploiement videoprotection phase 3;81186,0;15884,0;0,1956494962185598
2024;DETR;119;commune;210101556;001;COMMUNE D EVOSGES;01155;Renovation thermique du batiment mairie/ecole;67456,0;15328,0;0,2272296015180265
2024;DETR;119;epci;200040350;001;CC BUGEY SUD;;Renovation du pont sur le Furans a La Burbanche - ouvrage ndeg27 repertorie par le CEREMA;139204,0;27840,0;0,1999942530387057
2024;DETR;119;epci;200040350;001;CC BUGEY SUD;;Prevention des inondations - amenagement d'un ouvrage hydraulique sur le Furans a Chazey-Bons;5850,0;1170,0;0,2
2024;DETR;119;commune;210102190;001;COMMUNE DE LOMPNAS;01219;Renovation batiment salle polyvalente et mairie;754765,83;200000,0;0,2649828490513409
2024;DETR;119;epci;240100883;001;CTE DE COMMUNES DE LA PLAINE DE L'AIN;;Creation d'une liaison cyclable securisee entre Amberieu-en-Bugey et Torcieu;822023,0;164404,0;0,1999992700934158
2024;DETR;119;commune;210101101;001;COMMUNE DE COLOMIEU;01110;Refection des toits du local technique et du lavoir;14185,0;3546,0;0,2499823757490306
